U.S. Energy Information Administration,,,,,,
February 2020 Monthly Energy Review,,,,,,
,,,,,,
0,,,,,,
,,,,,,
"Release Date: February 25, 2020",,,,,,
"Next Update: March 26, 2020",,,,,,
,,,,,,
Table 9.8 Average Retail Prices of Electricity,,,,,,
,,,,,,
Month,"Average Retail Price of Electricity, Residential","Average Retail Price of Electricity, Commercial","Average Retail Price of Electricity, Industrial","Average Retail Price of Electricity, Transportation","Average Retail Price of Electricity, Other","Average Retail Price of Electricity, Total"
,"(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)"
01/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1988,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
08/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
09/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
10/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12/01/1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
01/01/1990,7.17,6.93,4.59,Not Available,5.99,6.27
02/01/1990,7.48,7.15,4.59,Not Available,6.14,6.33
03/01/1990,7.57,7.23,4.6,Not Available,6.24,6.37
04/01/1990,7.69,7.2,4.56,Not Available,6.54,6.35
05/01/1990,7.96,7.31,4.62,Not Available,6.38,6.46
06/01/1990,8.1,7.49,4.82,Not Available,6.54,6.71
07/01/1990,8.18,7.52,5.04,Not Available,6.48,6.92
08/01/1990,8.24,7.53,4.98,Not Available,6.31,6.89
09/01/1990,8.15,7.5,4.97,Not Available,6.49,6.85
10/01/1990,8.04,7.58,4.82,Not Available,6.48,6.67
11/01/1990,7.8,7.34,4.64,Not Available,6.53,6.46
12/01/1990,7.61,7.17,4.63,Not Available,6.75,6.43
01/01/1991,7.41,7.17,4.63,Not Available,6.45,6.43
02/01/1991,7.61,7.36,4.72,Not Available,6.52,6.53
03/01/1991,7.79,7.37,4.71,Not Available,6.45,6.55
04/01/1991,7.98,7.36,4.66,Not Available,6.45,6.53
05/01/1991,8.14,7.51,4.73,Not Available,6.38,6.63
06/01/1991,8.32,7.64,4.96,Not Available,6.52,6.92
07/01/1991,8.38,7.74,5.1,Not Available,6.56,7.1
08/01/1991,8.41,7.74,5.08,Not Available,6.48,7.07
09/01/1991,8.37,7.76,5.04,Not Available,6.59,7.02
10/01/1991,8.32,7.81,4.92,Not Available,6.65,6.87
11/01/1991,7.95,7.47,4.69,Not Available,6.55,6.59
12/01/1991,7.81,7.3,4.68,Not Available,6.48,6.57
01/01/1992,7.7,7.3,4.67,Not Available,6.55,6.58
02/01/1992,7.78,7.39,4.7,Not Available,6.42,6.58
03/01/1992,8.01,7.44,4.68,Not Available,6.53,6.6
04/01/1992,8.03,7.43,4.68,Not Available,6.47,6.57
05/01/1992,8.38,7.61,4.74,Not Available,6.56,6.72
06/01/1992,8.61,7.89,4.92,Not Available,6.94,6.99
07/01/1992,8.54,7.94,5.13,Not Available,6.95,7.18
08/01/1992,8.56,7.95,5.04,Not Available,6.97,7.15
09/01/1992,8.59,7.99,5.09,Not Available,6.96,7.14
10/01/1992,8.44,7.9,4.88,Not Available,6.93,6.92
11/01/1992,8.14,7.54,4.67,Not Available,6.81,6.64
12/01/1992,7.86,7.41,4.71,Not Available,6.67,6.66
01/01/1993,7.73,7.32,4.64,Not Available,6.61,6.61
02/01/1993,7.79,7.38,4.65,Not Available,6.51,6.59
03/01/1993,7.8,7.43,4.66,Not Available,6.5,6.59
04/01/1993,8.13,7.49,4.6,Not Available,6.81,6.62
05/01/1993,8.56,7.75,4.73,Not Available,6.95,6.82
06/01/1993,8.74,8,4.96,Not Available,7.1,7.13
07/01/1993,8.73,8.02,5.16,Not Available,7.06,7.36
08/01/1993,8.73,8.01,5.16,Not Available,7.01,7.35
09/01/1993,8.79,8.07,5.12,Not Available,7.13,7.32
10/01/1993,8.76,8.1,5.01,Not Available,7.29,7.16
11/01/1993,8.21,7.71,4.69,Not Available,6.96,6.75
12/01/1993,7.9,7.42,4.69,Not Available,6.5,6.65
01/01/1994,7.74,7.36,4.68,Not Available,6.54,6.65
02/01/1994,7.85,7.48,4.72,Not Available,6.63,6.69
03/01/1994,8.08,7.46,4.66,Not Available,6.77,6.68
04/01/1994,8.3,7.45,4.66,Not Available,6.68,6.67
05/01/1994,8.53,7.68,4.73,Not Available,6.95,6.8
06/01/1994,8.77,7.97,4.94,Not Available,7.02,7.16
07/01/1994,8.8,8.05,5.05,Not Available,7,7.36
08/01/1994,8.84,8.08,4.93,Not Available,6.96,7.28
09/01/1994,8.82,8.17,4.93,Not Available,7.27,7.24
10/01/1994,8.56,7.92,4.71,Not Available,6.89,6.9
11/01/1994,8.29,7.51,4.59,Not Available,6.69,6.64
12/01/1994,8.06,7.37,4.57,Not Available,6.6,6.63
01/01/1995,7.85,7.33,4.48,Not Available,6.67,6.6
02/01/1995,8.01,7.49,4.55,Not Available,6.77,6.68
03/01/1995,8.14,7.53,4.53,Not Available,6.8,6.66
04/01/1995,8.41,7.5,4.51,Not Available,6.66,6.65
05/01/1995,8.53,7.64,4.54,Not Available,6.97,6.74
06/01/1995,8.72,7.95,4.82,Not Available,7.13,7.1
07/01/1995,8.8,8.06,4.95,Not Available,7.13,7.35
08/01/1995,8.78,7.95,4.97,Not Available,6.99,7.34
09/01/1995,8.57,7.84,4.79,Not Available,6.88,7.08
10/01/1995,8.65,7.85,4.71,Not Available,7.03,6.95
11/01/1995,8.26,7.6,4.51,Not Available,6.82,6.7
12/01/1995,8.02,7.36,4.48,Not Available,6.7,6.64
01/01/1996,7.75,7.31,4.47,Not Available,6.68,6.61
02/01/1996,7.81,7.39,4.5,Not Available,6.74,6.6
